Age [ka BP]	δ18O [‰]
0	-2.09
2	-1.91
4	-1.74
6	-1.41
8	-1.02
10	-0.44
12	0.29
14	1.01
16	1.58
18	1.81
20	1.78
22	1.65
24	1.38
26	1.14
28	1.02
30	0.96
32	0.94
34	0.94
36	0.96
38	0.94
40	0.85
42	0.77
44	0.67
46	0.59
48	0.56
50	0.50
52	0.38
54	0.37
56	0.41
58	0.50
60	0.68
62	0.89
64	1.00
66	0.93
68	0.66
70	0.22
72	-0.24
74	-0.53
76	-0.69
78	-0.88
80	-0.98
82	-0.77
84	-0.48
86	-0.45
88	-0.47
90	-0.46
92	-0.52
94	-0.71
96	-0.80
98	-0.98
100	-0.96
102	-0.80
104	-0.69
106	-0.59
108	-0.51
110	-0.50
112	-0.73
114	-1.19
116	-1.53
118	-1.72
120	-1.98
122	-2.12
124	-1.89
126	-1.19
128	-0.26
130	0.51
132	1.05
134	1.33
136	1.35
138	1.28
140	1.32
142	1.33
144	1.26
146	1.26
148	1.41
150	1.57
152	1.58
154	1.45
156	1.30
158	1.07
160	0.85
162	0.60
164	0.40
166	0.25
168	0.15
170	0.11
172	0.12
174	0.18
176	0.27
178	0.47
180	0.71
182	0.83
184	0.62
186	0.11
188	-0.42
190	-0.88
192	-1.31
194	-1.62
196	-1.62
198	-1.41
200	-1.17
202	-0.99
204	-0.88
206	-0.88
208	-1.00
210	-1.12
212	-1.23
214	-1.35
216	-1.40
218	-1.27
220	-0.01
222	-0.64
224	-0.31
226	-0.03
228	0.12
230	-0.02
232	-0.31
234	-0.68
236	-1.02
238	-1.18
240	-1.03
242	-0.65
244	-0.20
246	0.30
248	0.70
250	0.78
252	0.66
254	0.52
256	0.40
258	0.37
260	0.43
262	0.50
264	0.55
266	0.67
268	0.85
270	0.89
272	0.77
274	0.60
276	0.42
278	0.21
280	-0.01
282	-0.19
284	-0.35
286	-0.47
288	-0.46
290	-0.31
292	-0.15
294	-0.05
296	0.02
298	0.05
300	-0.05
302	-0.30
304	-0.61
306	-0.93
308	-1.20
310	-1.34
312	-1.31
314	-1.19
316	-1.06
318	-0.95
320	-0.91
322	-1.03
324	-1.23
326	-1.45
328	-1.65
330	-1.79
332	-1.72
334	-1.40
336	-0.84
338	-0.04
340	0.75
342	1.12
344	1.07
346	0.94
348	0.86
350	0.86
352	0.88
354	0.86
356	0.74
358	0.53
360	0.28
362	0.03
364	-0.18
366	-0.38
368	-0.50
370	-0.43
372	-0.25
374	-0.07
376	-0.03
378	-0.15
380	-0.30
382	-0.46
384	-0.61
386	-0.73
388	-0.82
390	-0.90
392	-0.98
394	-1.07
396	-1.19
398	-1.35
400	-1.51
402	-1.66
404	-1.77
406	-1.77
408	-1.64
410	-1.46
412	-1.27
414	-1.08
416	-0.91
418	-0.79
420	-0.68
422	-0.53
424	-0.34
426	-0.10
428	0.25
430	0.69
432	1.17
434	1.50
436	1.49
438	1.34
440	1.19
442	1.06
444	0.97
446	0.95
448	0.93
450	0.91
452	0.87
454	0.79
456	0.71
458	0.64
460	0.58
462	0.61
464	0.73
466	0.87
468	1.01
470	1.08
472	0.88
474	0.44
476	0.03
478	-0.35
480	-0.70
482	-0.86
484	-0.82
486	-0.79
488	-0.76
490	-0.71
492	-0.68
494	-0.69
496	-0.74
498	-0.82
500	-0.91
502	-0.89
504	-0.68
506	-0.36
508	-0.07
510	0.18
512	0.37
514	0.35
516	0.15
518	-0.04
520	-0.15
522	-0.31
524	-0.45
526	-0.37
528	-0.17
530	0.02
532	0.17
534	0.34
536	0.60
538	0.79
540	0.72
542	0.54
544	0.40
546	0.30
548	0.26
550	0.24
552	0.26
554	0.34
556	0.42
558	0.49
560	0.64
562	0.80
564	0.65
566	0.33
568	0.08
570	-0.27
572	-0.68
574	-0.94
576	-0.93
578	-0.77
580	-0.51
582	-0.22
584	0.03
586	0.11
588	-0.01
590	-0.25
592	-0.51
594	-0.67
596	-0.71
598	-0.65
600	-0.57
602	-0.48
604	-0.23
606	0.11
608	0.15
610	-0.15
612	-0.51
614	-0.79
616	-0.90
618	-0.62
620	0.09
622	0.86
624	1.42
626	1.77
628	1.92
630	1.84
632	1.77
634	1.79
636	1.69
638	1.49
640	1.25
642	1.10
644	1.05
646	1.01
648	0.98
650	0.94
652	0.90
654	0.86
656	0.74
658	0.51
660	0.23
662	-0.05
664	-0.25
666	-0.38
668	-0.40
670	-0.23
672	-0.02
674	0.11
676	0.18
678	0.24
680	0.26
682	0.21
684	0.11
686	-0.01
688	-0.12
690	0.05
692	0.46
694	0.93
696	1.33
698	1.40
700	1.42
702	1.36
704	0.76
706	0.08
708	-0.21
710	-0.32
712	-0.16
714	0.10
716	0.15
718	0.18
720	0.26
722	0.21
724	0.08
726	-0.14
728	-0.43
730	-0.55
732	-0.49
734	-0.42
736	-0.18
738	0.39
740	0.91
742	1.19
744	1.25
746	1.18
748	1.14
750	1.15
752	1.22
754	1.40
756	1.48
758	1.18
760	0.75
762	0.40
764	0.18
766	0.03
768	-0.10
770	-0.23
772	-0.36
774	-0.40
776	-0.30
778	-0.24
780	-0.31
782	-0.42
